"Base License Number","Base Name","DBA","Year","Month","Month Name","Total Dispatched Trips","Total Dispatched Shared Trips","Unique Dispatched Vehicles"
"B00318","APPLE RADIO CARS INC",,"2018","5","May","1,227","0","13"
"B00531","FRIENDLY BEST-WAY TRANSPORTATION, INC.",,"2017","6","June","2,269","0","17"
"B02951","APPROACH QUALITY TRANSPORTATION, LLC",,"2017","10","October","814","0","17"
"B00789","VITAL TRANSPORTATION INC.",,"2015","12","December","8,573","0","267"
"B02491","CALL THREES LLC",,"2018","7","July","94","0","1"
"B02471","TSU GLOBAL SERVICES INC",,"2017","7","July","142","0","7"
"B03446","MALI LIMO SERVICE INC",,"2025","6","June","872","0","28"
"B01877","U.S.A. LIMO. INC.","BLUE LINE","2015","10","October","8,486","0","164"
"b00906","OLYMPIA OPERATING CAR SERVICE OF NY CORP.",,"2015","12","December","31","0","1"
"B00860","SEAMAN RADIO DISPATCHERS INC",,"2017","10","October","27,551","0","157"
"B01280","BENSONHURST RIDE INC.",,"2016","5","May","6,121","0","30"
"B03056","INSPIRATION GROUP INC",,"2017","10","October","1,945","0","31"
"B01065","EL BARRIO'S CAR SERVICE LLC",,"2021","7","July","8,917","0","49"
"B03033","FLEX EXPRESS CORP.",,"2023","6","June","1,939","0","17"
"B02508","DISPATCH CENTRAL, INC.",,"2016","11","November","42","0","10"
"B03240","ARECIBO EXPRESS INC.",,"2022","1","January","198","0","18"
"B03062","BQN VOUCHER INC",,"2019","12","December","1,165","0","7"
"B01467","NEW EXPERIENCE #1 INC",,"2019","10","October","5,186","0","54"
"B02152","KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.","2025","7","July","328","0","11"
"B03047","STS LUXURY, INC",,"2018","11","November","2,877","0","53"
"B02292","NEW YORK APPLE V.I.P. CORP",,"2017","6","June","1,858","0","12"
"B02574","MTC LIMOUSINE & CORPORATE COACH,INC.",,"2019","4","April","1,819","0","43"
"B01606","LA MEXICANA EXPRESS INC.",,"2015","6","June","48,485","0","151"
"B00802","BELL CAR SVC INC",,"2018","2","February","6,419","0","27"
"B02067","GROUP AMERICAR TRANSPORTATION,LLC.",,"2018","2","February","2,720","0","76"
"B01079","THE METRO MARINE CAR SERVICE INC","MARINE LIMO & CAR SERVICE","2021","12","December","2,955","0","8"
"B03046","BEL-LINDA, INC","ISLANDER TRANS","2022","9","September","5,508","0","21"
"B02532","COZY RIDE LIMOUSINE INC","COZY TRANSIT","2015","9","September","1,018","0","11"
"B00095","LIBERTY CAR SERVICE INC.",,"2023","7","July","421","0","4"
"B01990","SUK INCORPORATED","RAINBOW LIMO","2016","1","January","847","0","50"
"B00477","INTA-BORO ACRES INC",,"2015","8","August","9,944","0","190"
"B00446","COMMUNICAR INCORPORATED",,"2015","11","November","6,300","0","134"
"B00227","PARK WEST EXEC. SERVICES, INC.","TOWN CARS","2023","2","February","2,612","0","66"
"B02111","HUANG HOU CAR SERVICES INC.","HUANG HOU CAR SERVICES INC.","2018","6","June","23,638","0","104"
"B02462","TIFFANY'S CAR SERVICE INC.",,"2016","8","August","1,188","0","8"
"B02410","POLO LIMOUSINE, CORP.",,"2021","11","November","1,038","0","28"
"B02554","IMMEDIATE LUXURY CAR & LIMO SERVICE INC.",,"2016","3","March","52","0","24"
"B01743","TWO-WAY BLACK CARS AND RADIO GROUP TRANS INC",,"2022","12","December","4,141","0","211"
"B01336","BAY EXPRESS CORP.",,"2019","8","August","2,439","0","18"
"B02424","FRIENDLY RIDE INC",,"2020","3","March","117","0","15"
"B02429","SEAGULL RIDE CORP",,"2022","4","April","4,026","0","16"
"B00008","T-D MAINTENANCE CORP","FOUR ONES CAR SERVICE","2020","5","May","467","0","11"
"B00053","CHARGE AND RIDE INC",,"2021","2","February","144","0","34"
"B02783","PREFERRED CARE TRANSPORTATION SERVICE,INC",,"2020","8","August","525","0","9"
"B02067","GROUP AMERICAR TRANSPORTATION,LLC.",,"2023","5","May","662","0","44"
"B00789","VITAL TRANSPORTATION INC.",,"2019","10","October","8,591","0","166"
"B02554","IMMEDIATE LUXURY CAR & LIMO SERVICE INC.",,"2016","12","December","51","0","18"
"B00906","OLYMPIA OPERATING CAR SERVICE OF NY CORP.",,"2022","1","January","678","0","5"
"B02460","CABOT LIMO NY CORP.",,"2024","6","June","366","0","11"
"B03390","READY GO USA INC",,"2022","8","August","242","0","10"
"B02629","CARLUX LIMO INC.",,"2018","2","February","57","0","5"
"B00222","REYNO CAR SVC, INC.",,"2016","5","May","4,897","0","34"
"B02641","AVENUE X CAR SERVICE INC.","PRESTIGE CAR SERVICE","2018","2","February","2,258","0","13"
"B01124","COOPERATIVA CLBNA DE CON INC",,"2025","9","September","1,503","0","11"
"B02655","LONG ISLAND CITY CAR AND LIMO INC.","A2B CORPORATE SEDAN","2021","11","November","720","0","12"
"B02881","DIANE CAR AND LIMO SERVICE LLC",,"2020","5","May","1,139","0","15"
"B01743","TWO-WAY BLACK CARS AND RADIO GROUP TRANS INC",,"2024","5","May","4,317","0","447"
"B02103","A & S LIMOUSINE SERVICE CORP",,"2022","4","April","375","0","3"
"B01285","UNION RADIO DISPATCH INC",,"2020","4","April","2,853","0","22"
"B01470","AGUILA CAR & LIMO CORPORATION","VELOTAX CAR SERVICE","2018","5","May","759","0","9"
"B01527","NEW FAMILY RAD DISP INC",,"2017","5","May","7,755","0","70"
"B02899","NEW BLACK LUXURY CARS CORP",,"2025","6","June","3","0","3"
"b00965","BEN JEVO MGT. INC.","NEWPORT CAR SERVICE","2016","7","July","10,863","0","55"
"B01737","WASHINGTON RAD DISP INC",,"2015","8","August","4,035","0","39"
"B03046","BEL-LINDA, INC","ISLANDER TRANS","2021","5","May","3,120","0","21"
"B02408","PETER EXECUTIVE LIMOUSINE, CORP",,"2023","7","July","56","0","5"
"B03674","PEACH AND VIBES TRANSPORTATION CORP.",,"2025","3","March","30","0","3"
"B03544","CCM LLC",,"2025","8","August","242","0","1"
"B02184","DMCLS, INC.",,"2016","8","August","173","0","6"
"B03204","EXTRA CAR SERVICE LLC",,"2020","5","May","151","0","6"
"B02285","VALERA GLOBAL, INC.",,"2023","6","June","1,561","0","36"
"B00021","MEXICANA HIGH CLASS INC.","CAPITAL CAR SERVICE","2017","5","May","7,940","0","56"
"B03388","BEN'S INTERNATIONAL LUXURY TRANSPORTATION LLC",,"2022","4","April","927","0","20"
"B01009","UNITED LIMO C/M SVC CORP",,"2023","2","February","430","0","6"
"B01808","OLD TOWN CARS CORP","DELTA CARS","2019","2","February","3,099","0","7"
"B01593","NOVAK GLOBAL, INC.","SKYWAY CAR SERVICE","2020","12","December","167","0","1"
"B00411","FONE-A-CAR INC",,"2015","8","August","3,674","0","71"
"B03012","MEGA LIMO SERVICES INC.",,"2018","10","October","2,267","0","13"
"B02717","ZOOM CAR SERVICE INC.",,"2017","1","January","682","0","3"
"B00227","PARK WEST EXEC. SERVICES, INC.","TOWN CARS","2022","11","November","2,734","0","63"
"B02903","JFK LUXURY LIMOUSINE INC",,"2017","12","December","644","0","39"
"B01432","TOVAR TRANSPORTATION INC",,"2021","1","January","1,683","0","10"
"B01593","NOVAK GLOBAL, INC.","SKYWAY CAR SERVICE","2015","5","May","2,762","0","13"
"B01877","U.S.A. LIMO. INC.","BLUE LINE","2016","7","July","3,849","0","161"
"B00459","910 CAR SERVICE INC",,"2019","3","March","778","0","25"
"B00290","ZPI CORPORATION","NATIONAL HIGH CLASS","2016","7","July","3,526","0","24"
"B02563","FENIX XL CAR AND LIMO SERVICE CORP.",,"2019","9","September","14,916","0","68"
"B02453","MCW CAR & LIMO INC.",,"2023","7","July","135","0","17"
"B00030","TREMONT DISPATCHING CORP",,"2017","3","March","114","0","2"
"B02909","PUERTO RICO EXPRESS BLACK LUXURY INC",,"2024","6","June","337","0","3"
"B01009","UNITED LIMO C/M SVC CORP",,"2022","7","July","437","0","6"
"B00222","REYNO CAR SVC, INC.",,"2017","8","August","3,474","0","18"
"B02095","COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,"2019","12","December","2,767","0","107"
"B03073","TRANSMEDI, LLC",,"2018","12","December","40","0","1"
"B03022","BLACK CAR EXPRESS.COM CORP",,"2019","3","March","236","0","6"
"B02107","APOLLO RADIO DISPATCH INC.",,"2021","3","March","5,633","0","44"
"B03254","TEMPO TRANSPORTATION CORP.",,"2022","8","August","15","0","6"
"B00078","R & R ROAD LIMO SVCE INC",,"2016","3","March","1,362","0","43"
"B00225","DELANCEY TRANSPORTATION INC.",,"2025","11","November","7,616","0","91"
"B02418","PLUSH SERVICES CORP",,"2016","4","April","267","0","10"
"B01527","NEW FAMILY RAD DISP INC",,"2025","6","June","641","0","16"
"B02689","OCS LIMO CORP.",,"2015","6","June","56","0","5"
"B03284","MYLE WORLDWIDE INC",,"2022","5","May","115,122","0","2,457"
"B00987","MARLBORO CAR SERVICE INC.",,"2019","3","March","3,179","0","15"
"B01726","SUPER CLASS RADIO DISP INC",,"2019","9","September","7,485","0","51"
"B02273","BENI'S LIMOUSINE SERVICE INC",,"2016","3","March","28","0","8"
"B02860","EVERY WHERE LIMO SERVICE INC.",,"2023","9","September","102","0","37"
"B01663","CIBAO RADIO DISPATCH",,"2022","11","November","511","0","3"
"B02424","FRIENDLY RIDE INC",,"2017","2","February","369","0","24"
"B00256","FAST OPERATING CORP","CARMEL C/L SVCE","2025","1","January","16,359","0","372"
"B00919","HARLEM CARS INC.",,"2017","8","August","8,624","0","68"
"B01711","FLUSHING LIMO TRANSP CORP",,"2017","1","January","6,806","0","33"
"B01231","GO CAR CORP.",,"2019","3","March","15,278","0","175"
"B01818","TA-TA TRANSPORTATION, INC.",,"2015","12","December","97","0","14"
"B03060","EASTLAND BLACK CARS CORP",,"2019","12","December","25,101","0","110"
"B03268","NEZA EXPRESS INC.",,"2020","5","May","358","0","3"
"B02814","BELL LX INC",,"2021","12","December","3,625","0","25"
"B02655","LONG ISLAND CITY CAR AND LIMO INC.","A2B CORPORATE SEDAN","2021","10","October","673","0","12"
"B03061","BLUE EAGLE TRANSPORTATION SERVICES CORP",,"2020","10","October","1,821","0","39"
"B02248","HYBRID LIMO EXPRESS INC.",,"2021","6","June","356","0","2"
"B02461","NEW HEAVEN RADIO DISPATCH CORP",,"2021","2","February","2,688","0","34"
"B03334","WTM 365 INC.","U.S. LIMO SYSTEMS","2022","1","January","29","0","5"
"B02909","PUERTO RICO EXPRESS BLACK LUXURY INC",,"2020","9","September","657","0","5"
"B01963","AFRO CAR SERVICE CORP",,"2018","6","June","936","0","9"
"B02912","FIRST CLASS LUXURY INC",,"2019","11","November","1,001","0","7"
"B02470","VAHANA INC.",,"2016","3","March","604","0","12"
"B02462","TIFFANY'S CAR SERVICE INC.",,"2021","3","March","173","0","7"
"B02408","PETER EXECUTIVE LIMOUSINE, CORP",,"2019","11","November","129","0","8"
"B03125","SIMPLE CARS LLC.",,"2019","9","September","185","0","4"
"B00013","LOVE CORPORATE CAR INC",,"2016","6","June","5,233","0","117"
"B01389","METRO LUXURY INC",,"2018","10","October","887","0","13"
"B02099","SUNNY'S LIMOUSINE SERVICE INC","SSS LIMO SERVICE","2018","11","November","460","0","6"
"B00531","FRIENDLY BEST-WAY TRANSPORTATION, INC.",,"2024","7","July","363","0","11"
"B02848","V R WORLDWIDE INC",,"2017","1","January","78","0","5"
"B00449","A KINGS HWY C/S INC.",,"2019","6","June","3,048","0","11"
"B00625","CENTRAL CAR SERVICES,INC.",,"2022","10","October","1,057","0","8"
"B03326","RESQ RIDE CORP.",,"2024","2","February","947","0","6"
"B03116","NAVI TRANSPORTATION INC.",,"2022","9","September","989","0","5"
"B02095","COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",,"2020","1","January","2,308","0","100"
"B03092","USA LIMOUSINE SERVICE CORP","VPZ EXECUTIVE LIMO","2020","9","September","682","0","11"
"B02315","LA MORENITA CAR LIMO SERVICE INC",,"2024","2","February","1,127","0","7"
"JUNO","JUNO","JUNO","2019","5","May","741,967","0","19,561"
"B00559","7 OCEAN EXPRESS INC.",,"2019","3","March","339","0","16"
"B00221","PROFESSIONAL CAR SERVICE INC",,"2018","9","September","7,220","0","55"
"B03041","PUEBLA CITY INC.",,"2018","4","April","93","0","10"
"B02971","ULTRA BLACK CAR TRANSPORTATION, CORP.",,"2024","3","March","766","0","81"
"B01367","ROYAL DISPATCH SERVICES, INC.","EXECUTIVE CARS","2025","4","April","468","0","182"
"B00446","COMMUNICAR INCORPORATED",,"2021","7","July","1,740","0","38"
"B02599","CMS LIMO INC.",,"2022","5","May","114","0","3"
"B01437","MERENGUE LIMO & C/S INC",,"2016","11","November","16,139","0","76"
"B00608","SUMMIT CORPORATE CAR INC.",,"2026","2","February","298","0","100"
"B02627","A PEGASUS LIMOUSINE CORP.","APL LIMO","2019","11","November","139","0","10"
"B00623","MANHATTAN INT'L LIMO NETWORK LLC",,"2023","2","February","180","0","6"
"B02401","NORTHSIDE BK LLC",,"2020","2","February","2,896","0","47"
"B01196","DIPLO RAD DISP INC",,"2026","3","March","38,024","0","220"
"B03007","THE NEW SPANISH CAR & LIMO INC",,"2018","7","July","4","0","2"
"B02410","POLO LIMOUSINE, CORP.",,"2021","10","October","1,230","0","32"
"B03164","KISS LUXURY TRANSPORTATION INC.",,"2022","5","May","4,544","0","28"
"B01417","NESHER EXPRESS CAR SERVICE 2 INC.",,"2024","4","April","925","0","5"
"B01469","BROTHERS CAR SERVICE, INC.",,"2020","12","December","5,920","0","56"
"B01340","UNICAR COMPANY INC",,"2026","2","February","41,305","0","256"
"B00222","REYNO CAR SVC, INC.",,"2016","2","February","5,502","0","43"
"B02287","ROAD NEW YORK ENTERPRISES INC.","DAI-ICHI LIMOUSINE","2018","2","February","77","0","6"
"B01721","W.K. CAR & LIMO SERVICE INC",,"2025","11","November","1,541","0","11"
"B00692","CHEERS DISPATCH,INC.","SEVENTH AVE CAR SERVICE","2024","10","October","3,713","0","26"
"B00248","YELLOWSTONE TRANSPORTATION INC.","YES CAR SERVICE","2016","10","October","23,456","0","120"
"B01644","MUSIC EXPRESS/N.Y. INC",,"2018","8","August","39","0","1"
"B00310","WATSON CAR SERVICE INC.",,"2017","6","June","37,643","0","188"
"B01534","METRO CAR SERVICE CORP.","METROLINE CAR SERVICE","2018","11","November","1,883","0","13"
"B02182","FINEST CAR SERVICE, LLC",,"2017","11","November","11,130","0","92"
"B02401","NORTHSIDE BK LLC",,"2021","10","October","2,057","0","34"
"B01300","KENNEDY RAD DISP INC",,"2023","12","December","5,207","0","46"
"B02461","NEW HEAVEN RADIO DISPATCH CORP",,"2024","10","October","2,172","0","29"
"B00387","FORTUNE LIMOUSINES INC",,"2017","12","December","388","0","9"
"B03147","H H CAR SERVICE INC",,"2021","12","December","571","0","10"
"B03011","GOOD DAY TRANSPORTATION INC",,"2018","4","April","30","0","2"
"B02373","QUIET SERVICES INC","GOLDEN CLASS LIMO","2017","12","December","70","0","4"
"B02719","49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,"2022","12","December","1,161","0","18"
"B01616","H & B CAR AND LIMOUSINE, INC","SUNNYSIDE CAR SERVICE","2016","4","April","4,958","0","52"
"B02162","A B C SHUTTLE SERVICES CORPORATION","ABC CAR SERVICES","2019","7","July","10,993","0","95"
"B01367","ROYAL DISPATCH SERVICES, INC.","EXECUTIVE CARS","2023","5","May","1,273","0","230"
"B01339","R C AUDUBON SVC INC",,"2024","10","October","12,383","0","112"
"B02537","ALLTOWN LIMO CORP.",,"2017","12","December","8,713","0","84"
"B01079","THE METRO MARINE CAR SERVICE INC","MARINE LIMO & CAR SERVICE","2022","6","June","3,231","0","8"
"B01338","3210 WEBSTER AV PRESTIGE C/S",,"2025","9","September","114,661","0","954"
"B01899","ALLSTATE PRIVATE CAR & LIMO,INC",,"2018","4","April","17,637","0","126"
"B03046","BEL-LINDA, INC","ISLANDER TRANS","2024","11","November","5,603","0","22"
"B02103","A & S LIMOUSINE SERVICE CORP",,"2018","1","January","9,755","0","59"
"B02972","BLESSING TRANSPORTATION GROUP INC",,"2019","9","September","886","0","15"
"B01995","NYMEX UNO EXECUTIVE SEDAN'S INC","NYMEX CAR SERVICE","2024","11","November","1,484","0","18"
"B02920","AMAZING CAR AND LIMO SERVICE INC",,"2025","8","August","3,011","0","18"
"B02990","GO MY SEDAN LLC",,"2022","6","June","1,836","0","30"
"B01341","A NEW DAY RAD DISP INC",,"2017","6","June","4,915","0","34"
"B03554","LEGACY RIDES LLC.",,"2026","3","March","1,258","0","17"
"B01020","MICHAELS CAR SERVICE INC.","UNION LIMO AND CAR SERVICE INC","2018","6","June","589","0","13"
"B02687","ECO RIDE INC.","ELECTRIC BLUE CAR SERVICE","2025","11","November","137","0","7"
"B00053","CHARGE AND RIDE INC",,"2017","3","March","1,285","0","89"
"B01568","N.Y. MEXICANA CAR & LIMO SVC CRP.","N.Y. MEXICANA CAR SERVICE","2018","6","June","2,460","0","18"
"B02279","MATAMOROS CAR SERVICE INC.",,"2022","3","March","977","0","7"
"B02060","AMERICAN LIMOUSINE LLC","RMA WORLDWIDE CHAUFFEUR SERVICE","2021","10","October","675","0","50"
"B02814","BELL LX INC",,"2024","11","November","10,068","0","78"
"B03050","TORINKO NY, LLC",,"2019","8","August","149","0","12"
"B00280","FLEET RADIO DISPATCH CORP.","MINUTEMEN","2025","6","June","629","0","128"
"B03083","DIVINE LUXURY TRANSPORTATION INC",,"2018","8","August","1,089","0","11"
"B02287","ROAD NEW YORK ENTERPRISES INC.","DAI-ICHI LIMOUSINE","2019","7","July","134","0","7"
"B01741","MONACO LIMO & CAR SERVICES INC.",,"2018","7","July","2,980","0","20"
"B00911","RIVERSIDE PLUS RADIO DISPATCH, INC.","NEW WEBSTER CAR & LIMO SERVICE","2019","2","February","8,321","0","53"
"B01013","AMERICANA TRANSPORTATION LLC",,"2020","6","June","524","0","5"
"B01145","ULTRA RADIO DISP INC",,"2018","6","June","44,703","0","271"
"B01386","FENIX PREMIUM CORP.",,"2018","6","June","4,131","0","16"
"B01200","NEW YORK APPLE CAR SERVICE INC","N Y LIMO & CAR SVCE","2022","2","February","6,091","0","53"
"B02292","NEW YORK APPLE V.I.P. CORP",,"2022","6","June","3,547","0","22"
"B02102","GOLDEN DRAGON EXPRESS, INC",,"2015","10","October","446","0","6"
"B00608","SUMMIT CORPORATE CAR INC.",,"2016","1","January","2,611","0","46"
"B02550","AGAPE LUXURY CORP.",,"2020","1","January","155,842","0","1,091"
"B02138","GUADALUPANA CAR LIMO, INC",,"2016","8","August","4,819","0","19"
"B02127","CONTINENTAL RIDE, INC.","I + I TRANSPORTATION","2021","4","April","31","0","3"
"B01406","GOTHAM CAR SERVICE INC.","LEGEND CAR SERVICE","2025","6","June","2,515","0","58"
"B01389","METRO LUXURY INC",,"2021","6","June","1,365","0","6"
"B02301","DOUBLE A CAR SERVICE INC.","UNITED CARS","2024","2","February","1,570","0","83"
"B02217","PCS LIMOUSINE INC.",,"2022","3","March","242","0","5"
"B02968","NEW GENERATION BLACK CAR TRANSPORTATION CORP.",,"2019","11","November","5,668","0","28"
"B02724","CORE CAR, INC",,"2021","7","July","105","0","15"
"B02972","BLESSING TRANSPORTATION GROUP INC",,"2020","2","February","365","0","9"
"B02849","BROOKLYN RIDES CORP",,"2025","4","April","14,798","0","113"
"B02285","VALERA GLOBAL, INC.",,"2018","3","March","3,630","0","78"
"B01731","ROSEDALE BASE CAR SERVICE CORP.","DANNY'S CAR SERVICE","2017","4","April","1,032","0","5"
"B01200","NEW YORK APPLE CAR SERVICE INC","N Y LIMO & CAR SVCE","2018","6","June","3,884","0","19"
"B03100","MORELOS CAR SERVICE INC.",,"2023","5","May","152","0","3"
"B02849","BROOKLYN RIDES CORP",,"2020","6","June","11,780","0","76"
"B03462","IMPERIAL TP CAR SERVICE INC",,"2023","12","December","1,729","0","11"
"B02971","ULTRA BLACK CAR TRANSPORTATION, CORP.",,"2020","2","February","693","0","115"
"B01653","ART'S PLACE INC.","ON TIME CAR SERVICE","2015","10","October","3,002","0","14"
"B02461","NEW HEAVEN RADIO DISPATCH CORP",,"2023","3","March","2,652","0","20"
"B01800","EMPIRE INTERNATIONAL LTD.",,"2016","5","May","12,021","0","311"
"b01029","ZION CAR SERVICE INC.",,"2016","6","June","57","0","4"
"B01540","ROCKAWAY VIP SERVICE INC.",,"2021","10","October","1,754","0","8"
"B00001","LONDON TOWNCARS INC",,"2021","8","August","347","0","14"
"B01306","R N D TRANSPORTATION, INC.","MALONES CAR SVCE","2018","4","April","235","0","5"
"B01626","LA NUEVA QUISQUEYA C/S INC",,"2024","2","February","8,739","0","49"
"B02677","A.T.B. CAR AND LIMOUSINE SERVICE, INC.",,"2024","2","February","11,268","0","113"
"B02508","DISPATCH CENTRAL, INC.",,"2016","7","July","45","0","10"
"B01306","R N D TRANSPORTATION, INC.","MALONES CAR SVCE","2023","3","March","61","0","2"
"B02912","FIRST CLASS LUXURY INC",,"2016","6","June","2,568","0","15"
"B01801","SHUTTLEUP LLC","HENRY LIMOUSINE","2016","10","October","885","0","27"
"B01742","AVALON TRANSPORTATION, LLC",,"2024","7","July","242","0","12"
"B01285","UNION RADIO DISPATCH INC",,"2015","8","August","36,628","0","190"
"B01527","NEW FAMILY RAD DISP INC",,"2017","9","September","6,034","0","65"
"B00446","COMMUNICAR INCORPORATED",,"2015","8","August","5,417","0","128"
"B00248","YELLOWSTONE TRANSPORTATION INC.","YES CAR SERVICE","2019","3","March","11,289","0","69"
"B01273","PUERTO RICO CAR SERVICE INC.",,"2024","11","November","89","0","1"
"B01899","ALLSTATE PRIVATE CAR & LIMO,INC",,"2015","7","July","19,011","0","124"
"B02760","VISMAR RADIO DISPATCH INC.",,"2019","2","February","127","0","4"
"B02868","CHA CHA TRANSPORTATION CORP",,"2019","8","August","1,453","0","10"
"B01568","N.Y. MEXICANA CAR & LIMO SVC CRP.","N.Y. MEXICANA CAR SERVICE","2021","8","August","564","0","4"
"B01061","DAT RADIO DISP INC",,"2016","1","January","64,321","0","261"
"B02157","REAGAN CONVEYANCE  CORP.","DELUX TRANSPORTATION SERVICES","2025","8","August","3,360","0","122"
"B03315","BRISK CAR SERVICE INC.",,"2024","3","March","1,983","0","7"
"B00346","MERRICK C/S INC",,"2019","7","July","1,126","0","5"
"B02971","ULTRA BLACK CAR TRANSPORTATION, CORP.",,"2024","11","November","327","0","38"
"B03171","HIGHLAND TRANSPORTATION MANAGEMENT CORP.",,"2023","8","August","5,987","0","53"
"B02674","ELAL CAR LIMO SERVICE LLC","FIFTH AVENUE CAR LIMO SERVICE","2020","5","May","2,456","0","12"
"B00235","ARISTACAR & LIMOUSINE, LTD.",,"2024","8","August","2,323","0","16"
"B03033","FLEX EXPRESS CORP.",,"2023","5","May","2,148","0","16"
"B02346","PIA CAR LIMO. INC.",,"2016","7","July","129","0","3"
"B02550","AGAPE LUXURY CORP.",,"2017","2","February","24,233","0","324"
"B02853","SAFE RIDES CAR & LIMO SERVICES INC",,"2024","6","June","21","0","3"
"B03145","YERZ CAR INC.",,"2024","8","August","32","0","2"
"B03147","H H CAR SERVICE INC",,"2024","7","July","797","0","13"
"B01509","BRUNWISH ENTERPRISES,LTD.","EASTLAND CAR SERVICE","2021","7","July","2,409","0","18"
"B02342","QUEST INTERNATIONAL LIMOUSINE, INC.",,"2022","6","June","167","0","10"
"B02735","BEST DEAL CAR SERVICE 2,INC.",,"2022","5","May","20,334","0","103"
"UBER","UBER","UBER","2016","5","May","5,391,879","0","32,505"
"B02833","ADVANCED LUXURY LIMO SVC. INC.",,"2020","12","December","50","0","4"
"B02249","LA RAZA CAR SERVICE, INC.",,"2020","1","January","1,748","0","10"
"B00906","OLYMPIA OPERATING CAR SERVICE OF NY CORP.",,"2018","8","August","1,000","0","6"
"B01016","810 CAR SVCE CORP",,"2024","4","April","7,340","0","41"
"B02004","METROPOLITAN MULTIPLEX CAR SERVICE CORP.",,"2019","4","April","601","0","4"
"B01629","BBA MANAGEMENT INC.","UNITED CAR & LIMO SERVICE","2019","9","September","732","0","4"
"B00008","T-D MAINTENANCE CORP","FOUR ONES CAR SERVICE","2017","7","July","1,068","0","29"
"B01699","DT BROOKLYN CAR AND LIMO SVC. INC.","FIVE BOROUGHS CAR SERVICE","2017","4","April","181","0","4"
"B02803","OUTSIDE'S CAR SERVICE INC.",,"2020","11","November","5,787","0","27"
"B01979","DREAMLAND CAR & LIMO.SVC INC.",,"2015","7","July","31","0","6"
"B01259","THE NEW BROOKLYN C/S INC",,"2020","5","May","2,665","0","12"
"B03202","JUPITER SELECT LLC",,"2023","1","January","210","0","5"
"B02546","X RADIO DISPATCHER INC.",,"2017","6","June","1,695","0","125"
"B02248","HYBRID LIMO EXPRESS INC.",,"2017","8","August","288","0","2"
"B00906","OLYMPIA OPERATING CAR SERVICE OF NY CORP.",,"2020","1","January","1,411","0","6"
"B01065","EL BARRIO'S CAR SERVICE LLC",,"2023","5","May","17,033","0","112"
"B01485","FLAMINGO TRANSP. & LIMO. SERVICES INC.",,"2026","2","February","12,087","0","87"
"B03380","ELECTRIC PEPPERS LLC",,"2023","8","August","158,374","0","443"
"B02729","LOW TOUCH LUXURY INC.",,"2019","12","December","1,012","0","27"
"B03248","GUEST TRAVEL SERVICE INC.","GTS TRANSPORTATION","2022","11","November","204","0","7"
"B00225","DELANCEY TRANSPORTATION INC.",,"2015","7","July","22,580","0","122"
"B01980","READY TO ROLL TRANSPORTATION, INC.",,"2025","10","October","514","0","14"
"b00990","MIRAGE LIMOUSINE SERVICE, INC.","UFO PVT C/L SERVICE","2016","6","June","86","0","1"
"B01546","BELLE-ROCK OF BEACH CHANNEL INC.",,"2017","10","October","2,532","0","14"
"B02145","NEW 2020 CAR SERVICE INC",,"2016","12","December","1,689","0","12"
"B02191","US LIMO SYSTEM INC",,"2018","2","February","504","0","21"
"B01877","U.S.A. LIMO. INC.","BLUE LINE","2017","4","April","6,447","0","163"
"B03209","PARAMOUNT TRANSPORT INC.",,"2025","4","April","1,208","0","10"
"B02095","COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",,"2020","12","December","56","0","7"
"B00608","SUMMIT CORPORATE CAR INC.",,"2025","5","May","520","0","157"
"B00053","CHARGE AND RIDE INC",,"2025","10","October","1,184","0","31"
"B02127","CONTINENTAL RIDE, INC.","I + I TRANSPORTATION","2022","8","August","33","0","2"
"B01984","NY 88 EXPRESS CORP.",,"2015","8","August","18,173","0","145"
"B03417","MZ RIDE LLC",,"2024","12","December","1","0","1"
"B03646","TRANSPORT NEW WAY INC",,"2026","3","March","1,604","0","9"
"B01985","LUXURY WORLDWIDE TRANSPORTATION, LLC",,"2017","11","November","1,080","0","54"
"B02505","TRELAWNY CAR SERVICE INC",,"2018","12","December","3,649","0","20"
"B02050","MAZIN  CAR & LIMO SVC., LLC",,"2019","12","December","439","0","4"
"B01779","APEX CAR & LIMO SVCE INC",,"2025","1","January","61","0","8"
"B01039","NYC WHEELS CAR SERVICE INC.","COMMUNICARE CAR SERVICE","2016","2","February","606","0","8"
"B00987","MARLBORO CAR SERVICE INC.",,"2017","6","June","157","0","2"
"b01029","ZION CAR SERVICE INC.",,"2015","11","November","50","0","4"
"B03138","WST LIMOUSINE LLC",,"2021","4","April","83","0","9"
"B02254","FINESSE GROUP LIMOUSINE,INC.",,"2020","8","August","1,265","0","6"
"B01536","FIRST CLASS C/L SVC CORP",,"2024","10","October","27,488","0","671"
"B03138","WST LIMOUSINE LLC",,"2021","12","December","157","0","16"
"B00296","PRIME TIME TRANS. INC",,"2016","9","September","1,851","0","44"
"B02853","SAFE RIDES CAR & LIMO SERVICES INC",,"2019","12","December","17","0","5"
